,online_order,book_table,rate,votes,location,rest_type,cost_two,type,city,Beverages,Biryani,Cafe,Chinese,Continental,Desserts,Fast Food,Italian,North Indian,South Indian
230,No,No,4,148,Basavanagudi,Casual Dining,550,Delivery,Banashankari,0,0,1,1,0,0,1,0,1,0
230,No,No,4,148,Basavanagudi, Cafe,550,Delivery,Banashankari,0,0,1,1,0,0,1,0,1,0
231,No,No,4,206,Basavanagudi,Quick Bites,450,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,1
235,No,No,4,217,Basavanagudi,Casual Dining,450,Delivery,Banashankari,0,0,0,1,0,0,1,0,1,1
237,No,No,4,148,Basavanagudi,Quick Bites,150,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,0
248,Yes,No,3,177,Jayanagar,Casual Dining,700,Delivery,Banashankari,0,1,0,1,0,0,0,0,1,0
251,Yes,No,4,136,Banashankari,Quick Bites,600,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,0
253,Yes,No,5,185,Jayanagar,Quick Bites,200,Delivery,Banashankari,0,0,0,0,0,1,0,0,0,0
255,Yes,No,4,155,Mysore Road,Casual Dining,400,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,1
256,Yes,No,4,42,Banashankari,Quick Bites,300,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,1
257,Yes,No,4,286,Basavanagudi,Casual Dining,600,Delivery,Banashankari,0,0,0,0,0,0,0,0,1,0
258,Yes,No,4,160,Banashankari,Casual Dining,700,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,0
259,Yes,No,4,59,Banashankari,Casual Dining,750,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,0
262,Yes,No,4,89,Jayanagar,Quick Bites,200,Delivery,Banashankari,1,0,0,0,0,0,0,0,0,1
264,Yes,No,4,40,Basavanagudi,Casual Dining,600,Delivery,Banashankari,0,0,0,1,0,0,1,0,1,1
265,Yes,No,3,35,Basavanagudi,Quick Bites,200,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,0
268,Yes,No,4,62,Banashankari,Quick Bites,600,Delivery,Banashankari,0,0,1,0,0,0,1,1,0,0
268,Yes,No,4,62,Banashankari, Cafe,600,Delivery,Banashankari,0,0,1,0,0,0,1,1,0,0
271,Yes,No,5,139,Jayanagar,Casual Dining,550,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,1
274,Yes,No,4,237,Banashankari,Quick Bites,200,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,1
275,Yes,No,4,388,Banashankari,Casual Dining,650,Delivery,Banashankari,0,1,0,0,0,0,0,0,1,0
277,Yes,No,4,128,Kumaraswamy Layout,Casual Dining,500,Delivery,Banashankari,0,0,0,1,0,0,0,0,0,1
278,Yes,Yes,5,1875,Jayanagar,Casual Dining,1200,Delivery,Banashankari,0,0,0,0,0,0,0,0,1,0
279,Yes,No,4,90,Banashankari,Cafe,650,Delivery,Banashankari,0,0,1,0,0,0,0,0,0,0
282,Yes,No,5,179,Banashankari,Delivery,600,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,0
284,Yes,No,5,275,Basavanagudi,Quick Bites,100,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,1
285,Yes,No,4,323,Jayanagar,Casual Dining,850,Delivery,Banashankari,0,0,0,1,0,0,0,0,0,0
290,Yes,No,5,322,Jayanagar,Casual Dining,400,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,1
291,Yes,No,3,157,Jayanagar,Cafe,450,Delivery,Banashankari,0,0,1,0,0,0,0,0,0,0
292,Yes,No,4,543,Basavanagudi,Quick Bites,300,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,1
293,Yes,No,4,180,Banashankari,Cafe,500,Delivery,Banashankari,1,0,1,0,0,0,1,0,0,0
